# KILL — 931 zero-affiliate-click posts (all 30-90 days old, firehose-generated)
# format: publishedAt | lang | filename
2026-04-10 | ar    | gohighlevel-free-trial-arabic-30-days-guide.json
2026-04-10 | ar    | gohighlevel-pricing-arabic-2026-complete-guide.json
2026-04-11 | ar    | how-to-setup-facebook-instagram-messaging-gohighlevel-mena.json
2026-04-11 | ar    | how-to-use-app-uninstall-api-gohighlevel-optimize-performance-arabic.json
2026-04-11 | ar    | send-file-attachments-gohighlevel-live-chat-faster-support-arabic.json
2026-04-12 | ar    | master-gohighlevel-checkout-orchestrator-eliminate-duplicate-orders-1.json
2026-04-13 | ar    | create-high-converting-funnels-gohighlevel-ai-automation-arabic.json
2026-04-13 | ar    | manage-listings-suggestions-gohighlevel-sync-data-arabic.json
2026-04-13 | ar    | master-gohighlevel-revamped-contacts-smartlists-arabic.json
2026-04-13 | ar    | setup-payment-notifications-gohighlevel-wordpress-arabic.json
2026-04-14 | ar    | how-to-add-tables-to-knowledge-base-gohighlevel-ai-employees.json
2026-04-14 | ar    | manage-pipeline-permissions-gohighlevel-control-access-arabic.json
2026-04-14 | ar    | master-conversation-ai-flow-builder-gohighlevel-arabic.json
2026-04-17 | ar    | how-to-use-kanban-view-gohighlevel-manage-deals-1.json
2026-04-17 | ar    | master-gohighlevel-credentials-share-certificates-arabic.json
2026-04-18 | ar    | how-to-create-qr-codes-in-gohighlevel-agency-marketing-mena.json
2026-04-25 | ar    | create-personality-quizzes-gohighlevel-boost-client-results-1.json
2026-04-26 | ar    | migrate-klaviyo-to-gohighlevel-agency-guide-mena.json
2026-04-27 | ar    | how-to-use-custom-values-gohighlevel-personalize-calendars-arabic.json
2026-03-11 | en    | build-client-trust-gohighlevel-soc-2-type-ii-security.json
2026-03-11 | en    | how-to-book-service-appointments-gohighlevel-mobile-app.json
2026-03-11 | en    | how-to-create-sell-gift-cards-gohighlevel.json
2026-03-11 | en    | how-to-find-qualified-prospects-in-gohighlevel-ai-lead-generation.json
2026-03-11 | en    | how-to-generate-marketing-audit-reports-in-gohighlevel.json
2026-03-11 | en    | how-to-track-gift-card-performance-gohighlevel-analytics.json
2026-03-12 | en    | configure-incoming-calls-gohighlevel-call-routing-mastery.json
2026-03-12 | en    | fix-email-deliverability-gohighlevel-rfc-5322-compliance.json
2026-03-12 | en    | how-to-analyze-traffic-sources-in-gohighlevel-track-performance.json
2026-03-12 | en    | how-to-ensure-accessibility-in-gohighlevel-wcag-21-compliance.json
2026-03-12 | en    | how-to-fix-mail-loop-errors-in-gohighlevel-resolve-email-issues.json
2026-03-12 | en    | how-to-remove-blacklisted-domains-gohighlevel.json
2026-03-13 | en    | avoid-call-loops-in-gohighlevel-expert-phone-routing.json
2026-03-13 | en    | book-across-multiple-calendars-gohighlevel-voice-ai.json
2026-03-13 | en    | build-ai-agents-faster-gohighlevel-template-library-guide.json
2026-03-13 | en    | build-saas-mode-systems-gohighlevel-scale-agency.json
2026-03-13 | en    | clone-ai-agents-gohighlevel-scale-sub-accounts.json
2026-03-13 | en    | delete-seo-site-projects-in-gohighlevel-free-up-quota.json
2026-03-13 | en    | edit-client-portal-email-templates-gohighlevel-brand-personalization.json
2026-03-13 | en    | enable-2fa-phone-updates-gohighlevel-secure-account.json
2026-03-13 | en    | fix-email-authentication-gohighlevel-spf-dkim-dmarc.json
2026-03-13 | en    | fix-email-blocks-gohighlevel-restore-deliverability.json
2026-03-13 | en    | fix-gmail-4728-errors-gohighlevel-improve-deliverability.json
2026-03-13 | en    | fix-google-ads-rejections-gohighlevel-url-redirect-solutions.json
2026-03-13 | en    | fix-missing-payment-methods-gohighlevel-stripe-checkout.json
2026-03-13 | en    | fix-spam-filter-blocks-gohighlevel-boost-deliverability.json
2026-03-13 | en    | force-sync-listings-gohighlevel-speed-up-updates.json
2026-03-13 | en    | how-to-add-countdown-timers-in-gohighlevel-drive-whatsapp-urgency.json
2026-03-13 | en    | how-to-add-inbound-messages-gohighlevel-reduce-api-calls.json
2026-03-13 | en    | how-to-add-prospects-to-crm-pipelines-gohighlevel.json
2026-03-13 | en    | how-to-build-ai-agents-in-gohighlevel-agent-studio-guide.json
2026-03-13 | en    | how-to-bulk-import-companies-gohighlevel-save-hours.json
2026-03-13 | en    | how-to-bulk-import-custom-object-records-in-gohighlevel-save-hours.json
2026-03-13 | en    | how-to-complete-kyc-verification-in-gohighlevel-best-practices.json
2026-03-13 | en    | how-to-create-associate-companies-gohighlevel-auto-workflows.json
2026-03-13 | en    | how-to-create-brand-voice-gohighlevel-ai-content.json
2026-03-13 | en    | how-to-debug-ga4-in-gohighlevel-fix-tracking-fast.json
2026-03-13 | en    | how-to-debug-webhooks-gohighlevel-real-time-logs.json
2026-03-13 | en    | how-to-duplicate-pipelines-in-gohighlevel-save-agency-time.json
2026-03-13 | en    | how-to-enable-ach-bank-transfers-gohighlevel-nmi-setup.json
2026-03-13 | en    | how-to-enable-tap-to-pay-in-gohighlevel-mobile-payments.json
2026-03-13 | en    | how-to-enable-voice-ai-consent-checks-gohighlevel.json
2026-03-13 | en    | how-to-export-companies-to-csv-in-gohighlevel-bulk-export.json
2026-03-13 | en    | how-to-export-email-marketing-data-gohighlevel-track-performance.json
2026-03-13 | en    | how-to-export-orders-as-csv-in-gohighlevel-financial-reporting.json
2026-03-13 | en    | how-to-export-subscriptions-gohighlevel-revenue-analytics.json
2026-03-13 | en    | how-to-export-transactions-in-gohighlevel-csv-reports.json
2026-03-13 | en    | how-to-forward-emails-in-gohighlevel-streamline-client-handoffs.json
2026-03-13 | en    | how-to-get-a2p-approved-gohighlevel-sms-compliance.json
2026-03-13 | en    | how-to-import-media-into-gohighlevel-courses-save-time.json
2026-03-13 | en    | how-to-launch-sms-campaign-gohighlevel-get-more-leads.json
2026-03-13 | en    | how-to-manage-agent-studio-folders-gohighlevel-stay-organized.json
2026-03-13 | en    | how-to-manage-duplicate-listings-in-gohighlevel-complete-guide.json
2026-03-13 | en    | how-to-manage-prospect-statuses-in-gohighlevel-faster-onboarding.json
2026-03-13 | en    | how-to-manage-rental-taxes-in-gohighlevel-complete-guide.json
2026-03-13 | en    | how-to-manage-service-appointments-in-gohighlevel-faster-bookings.json
2026-03-13 | en    | how-to-manage-whatsapp-settings-in-gohighlevel-complete-guide.json
2026-03-13 | en    | how-to-migrate-from-activecampaign-to-gohighlevel-no-data-loss.json
2026-03-13 | en    | how-to-reassign-affiliate-contacts-in-gohighlevel-fix-duplicates.json
2026-03-13 | en    | how-to-report-bugs-in-gohighlevel-faster-support.json
2026-03-13 | en    | how-to-schedule-automated-reports-in-gohighlevel-save-hours.json
2026-03-13 | en    | how-to-schedule-gbp-posts-in-gohighlevel-boost-local-visibility.json
2026-03-13 | en    | how-to-sell-gift-cards-gohighlevel-multiple-channels.json
2026-03-13 | en    | how-to-send-gift-cards-in-gohighlevel-boost-customer-loyalty.json
2026-03-13 | en    | how-to-set-conversation-ai-response-styles-in-gohighlevel.json
2026-03-13 | en    | how-to-set-up-a2p-10dlc-registration-gohighlevel-stay-compliant.json
2026-03-13 | en    | how-to-set-up-adyen-payments-in-gohighlevel-accept-global-payments.json
2026-03-13 | en    | how-to-set-up-google-lead-ads-in-gohighlevel-auto-sync-leads.json
2026-03-13 | en    | how-to-test-debug-ai-agents-gohighlevel.json
2026-03-13 | en    | how-to-track-average-time-on-site-gohighlevel-boost-engagement.json
2026-03-13 | en    | how-to-track-revenue-in-gohighlevel-agency-dashboard-guide.json
2026-03-13 | en    | how-to-use-agent-studio-router-in-gohighlevel-smarter-ai-flows.json
2026-03-13 | en    | how-to-use-brand-voice-in-gohighlevel-agent-studio-guide.json
2026-03-13 | en    | how-to-use-canva-integration-in-gohighlevel-save-time.json
2026-03-13 | en    | how-to-use-custom-dispositions-in-gohighlevel-call-automation.json
2026-03-13 | en    | how-to-use-dashboard-summary-ai-in-gohighlevel-instant-insights.json
2026-03-13 | en    | how-to-use-file-type-filter-in-gohighlevel-find-media-instantly.json
2026-03-13 | en    | how-to-use-global-sections-in-gohighlevel-save-time-building.json
2026-03-13 | en    | how-to-use-listings-add-ons-gohighlevel-food-healthcare.json
2026-03-13 | en    | how-to-use-multi-language-widgets-gohighlevel-agency-localization.json
2026-03-13 | en    | how-to-use-notes-in-gohighlevel-custom-objects-guide.json
2026-03-13 | en    | how-to-use-saas-analytics-mrr-gohighlevel-dashboard.json
2026-03-13 | en    | how-to-use-timezone-adaptation-gohighlevel-global-timer-control.json
2026-03-13 | en    | how-to-use-variables-in-gohighlevel-agent-studio-save-time.json
